suscribed,age,job,education,marital,Income,Kidhome,Teenhome
no,47,Administration,High school,MARRIED,143942,2,2
no,25,Industry,High school,MARRIED,119550,2,2
no,27,Industry,Basic education,MARRIED,105364,0,1
no,47,Industry,Basic education,MARRIED,22427,0,2
no,36,Administration,Professional Course,MARRIED,119257,1,1
no,50,Administration,Basic education,DIVORCED,43378,0,2
no,53,Industry,Basic education,MARRIED,60544,1,2
no,37,Independent,Professional Course,MARRIED,21457,1,2
no,36,Industry,Basic education,SINGLE,120422,2,0
no,53,Industry,Basic education,MARRIED,157624,2,2
no,42,Industry,Basic education,MARRIED,109104,0,2
no,39,Industry,Basic education,MARRIED,106939,1,0
no,46,Independent,High school,MARRIED,170851,1,0
no,32,Industry,High school,MARRIED,90540,1,2
no,28,Administration,University,DIVORCED,103233,2,1
no,40,Industry,Basic education,MARRIED,68091,2,1
no,38,Industry,Basic education,SINGLE,116097,0,1
no,30,Industry,Unknown,SINGLE,51895,0,0
yes,38,Administration,Basic education,MARRIED,7231,1,2
no,37,Administration,Basic education,SINGLE,18608,1,0
no,39,Independent,University,MARRIED,40655,2,1
no,38,Industry,High school,DIVORCED,141495,1,0
no,29,Administration,High school,MARRIED,106016,1,0
yes,22,Industry,Basic education,SINGLE,86289,1,2
no,49,Industry,Basic education,MARRIED,23762,2,1
no,31,Administration,University,SINGLE,132755,1,1
no,49,Industry,Basic education,MARRIED,166873,0,2
no,41,Industry,Basic education,MARRIED,102091,2,1
no,47,Administration,Basic education,MARRIED,165517,0,1
no,47,Administration,University,SINGLE,11616,1,0
no,38,Administration,University,MARRIED,160536,0,0
no,43,Administration,High school,DIVORCED,81495,0,1
no,46,Industry,High school,MARRIED,156784,0,1
no,33,Industry,Basic education,MARRIED,99004,0,0
no,27,Industry,Basic education,SINGLE,111020,1,0
no,53,Administration,Professional Course,MARRIED,46460,0,0
no,38,Administration,University,DIVORCED,84480,2,1
no,47,Industry,Basic education,DIVORCED,92072,0,2
no,55,Industry,Professional Course,MARRIED,167500,1,0
no,60,Non-active,Basic education,DIVORCED,95471,0,0
no,48,Administration,High school,MARRIED,46368,2,0
no,38,Industry,Basic education,DIVORCED,118697,2,0
no,48,Administration,High school,MARRIED,44525,2,2
no,48,Administration,High school,MARRIED,147842,1,0
no,42,Industry,Basic education,DIVORCED,87885,0,0
no,46,Administration,University,SINGLE,113075,2,2
no,36,Industry,Basic education,SINGLE,70229,2,2
no,29,Administration,University,SINGLE,99149,1,2
no,50,Industry,High school,MARRIED,176495,0,1
no,33,Administration,Unknown,MARRIED,94417,1,0
no,37,Administration,University,SINGLE,64496,2,2
no,42,Administration,University,MARRIED,17745,2,0
no,24,Industry,Basic education,SINGLE,27815,2,1
no,38,Administration,University,MARRIED,122230,1,1
no,38,Industry,Basic education,MARRIED,161372,1,0
no,36,Industry,University,MARRIED,143154,2,2
no,45,Non-active,University,MARRIED,161183,0,2
no,38,Industry,Basic education,MARRIED,94451,0,2
no,38,Administration,Unknown,DIVORCED,130333,0,2
no,48,Administration,High school,MARRIED,158433,1,2
no,46,Administration,University,MARRIED,74063,2,1
no,47,Administration,University,DIVORCED,46893,0,2
no,33,Independent,University,MARRIED,83919,0,1
no,39,Administration,High school,MARRIED,68820,0,1
no,47,Administration,University,DIVORCED,168413,1,2
no,37,Industry,Basic education,SINGLE,70970,1,0
no,47,Independent,University,DIVORCED,39860,2,0
no,29,Industry,University,SINGLE,49240,1,0
no,44,Non-active,High school,MARRIED,37897,2,0
no,45,Industry,Basic education,MARRIED,117737,0,1
no,47,Industry,Basic education,DIVORCED,146151,2,1
no,38,Independent,University,DIVORCED,177659,0,1
no,25,Non-active,Basic education,MARRIED,86243,2,0
yes,47,Industry,Basic education,MARRIED,179792,0,0
no,55,Non-active,Professional Course,MARRIED,148010,2,0
no,56,Non-active,High school,MARRIED,142113,1,2
no,44,Industry,Basic education,MARRIED,122402,0,2
no,36,Administration,University,SINGLE,132727,0,1
no,40,Industry,Basic education,MARRIED,116354,1,0
no,46,Industry,Unknown,MARRIED,172795,1,2
no,48,Industry,Basic education,DIVORCED,37246,1,1
no,40,Independent,High school,MARRIED,12433,1,0
no,37,Administration,Professional Course,SINGLE,56228,1,2
no,58,Industry,Professional Course,DIVORCED,127445,2,0
no,50,Administration,Professional Course,MARRIED,79616,1,0
yes,55,Non-active,High school,MARRIED,87788,0,2
no,55,Industry,Basic education,MARRIED,102165,2,2
no,51,Administration,University,MARRIED,15225,0,0
no,45,Administration,University,MARRIED,136169,1,1
no,39,Administration,Professional Course,MARRIED,29960,2,0
no,47,Industry,Basic education,DIVORCED,100572,2,1
no,55,Administration,High school,MARRIED,147859,2,0
no,41,Industry,High school,MARRIED,167944,1,1
no,48,Industry,Basic education,MARRIED,64752,2,1
no,41,Administration,University,MARRIED,129437,2,0
no,41,Industry,Basic education,DIVORCED,98363,0,1
no,30,Industry,High school,SINGLE,65077,0,0
no,32,Independent,High school,MARRIED,17658,2,2
no,38,Non-active,University,DIVORCED,16284,2,1
no,53,Administration,Professional Course,MARRIED,49207,1,1
no,39,Administration,University,MARRIED,78574,1,2
no,48,Administration,High school,SINGLE,105711,0,1
no,42,Administration,High school,DIVORCED,89572,2,1
no,36,Industry,Basic education,MARRIED,68295,1,0
no,35,Administration,Professional Course,MARRIED,126435,1,1
no,47,Administration,Unknown,MARRIED,86013,2,2
no,38,Industry,Basic education,MARRIED,13387,0,2
no,59,Non-active,University,MARRIED,172293,2,0
no,34,Administration,Basic education,DIVORCED,153950,0,2
no,47,Administration,Basic education,MARRIED,96606,1,0
no,53,Industry,University,DIVORCED,61789,0,1
no,44,Independent,University,MARRIED,80858,0,1
no,48,Industry,High school,SINGLE,123536,1,2
no,50,Industry,Basic education,MARRIED,57744,1,1
no,44,Non-active,Unknown,SINGLE,100957,0,0
no,38,Non-active,Basic education,MARRIED,161140,1,1
no,42,Independent,High school,MARRIED,157158,0,0
no,45,Industry,Basic education,SINGLE,52236,1,0
no,51,Industry,Basic education,MARRIED,85758,2,1
no,35,Industry,Professional Course,MARRIED,163326,1,0
no,55,Administration,University,SINGLE,36359,1,1
no,32,Industry,Professional Course,SINGLE,117967,1,1
no,38,Industry,Basic education,MARRIED,79768,0,1
no,42,Administration,University,DIVORCED,53694,1,0
no,57,Industry,Unknown,DIVORCED,178336,0,1
no,57,Administration,High school,DIVORCED,62613,0,2
no,38,Industry,Basic education,MARRIED,110068,1,2
no,42,Administration,University,DIVORCED,130705,2,1
no,38,Industry,Basic education,MARRIED,51169,1,1
no,31,Administration,University,SINGLE,99488,2,1
no,44,Administration,High school,MARRIED,109648,1,0
no,28,Industry,Basic education,SINGLE,129366,2,2
no,29,Administration,University,SINGLE,35767,1,0
no,56,Non-active,Basic education,MARRIED,124963,1,0
no,47,Administration,University,MARRIED,94208,2,2
no,26,Non-active,Basic education,SINGLE,62484,1,2
no,39,Administration,University,MARRIED,87228,0,2
no,38,Industry,Unknown,MARRIED,110027,1,0
no,54,Administration,University,SINGLE,161792,0,1
no,42,Non-active,Basic education,MARRIED,7000,2,1
no,57,Industry,Basic education,MARRIED,95641,0,2
no,27,Industry,Basic education,MARRIED,102901,0,0
no,27,Administration,Professional Course,SINGLE,62400,0,2
no,59,Administration,University,DIVORCED,62549,1,1
no,47,Industry,Basic education,DIVORCED,97134,0,0
no,43,Administration,Professional Course,MARRIED,160090,1,1
no,36,Industry,Basic education,MARRIED,32721,1,0
no,47,Administration,Basic education,DIVORCED,59442,1,2
no,38,Industry,Basic education,MARRIED,17651,2,0
no,38,Independent,Basic education,MARRIED,119832,0,2
no,33,Industry,Basic education,MARRIED,142872,1,2
no,43,Independent,Basic education,MARRIED,164217,0,1
no,39,Industry,Unknown,MARRIED,71017,1,0
no,41,Administration,Professional Course,SINGLE,18178,1,0
no,37,Industry,Unknown,SINGLE,54086,2,0
no,32,Industry,Basic education,MARRIED,50279,0,2
no,46,Administration,University,MARRIED,124686,2,0
no,49,Independent,University,MARRIED,28953,2,1
no,33,Industry,High school,SINGLE,65433,1,2
no,42,Administration,University,DIVORCED,22540,2,1
no,23,Industry,Basic education,MARRIED,90663,1,0
no,28,Industry,High school,MARRIED,44789,0,2
no,39,Industry,Basic education,MARRIED,9434,2,0
no,36,Administration,High school,MARRIED,128314,0,1
no,27,Administration,University,MARRIED,67292,0,1
no,37,Independent,Basic education,MARRIED,123621,0,1
no,49,Non-active,Basic education,MARRIED,16292,2,0
no,55,Industry,Basic education,MARRIED,68321,0,2
no,42,Administration,Unknown,MARRIED,39294,0,1
no,38,Industry,High school,MARRIED,24689,0,2
no,29,Industry,University,SINGLE,18178,0,1
no,28,Industry,Basic education,SINGLE,74720,2,2
no,36,Administration,High school,SINGLE,22531,2,1
no,38,Industry,Basic education,SINGLE,97121,0,0
no,58,Administration,University,MARRIED,100095,0,0
no,45,Administration,University,MARRIED,122303,2,0
no,27,Industry,Basic education,SINGLE,54406,2,2
no,35,Administration,High school,MARRIED,21885,1,1
no,38,Industry,Basic education,SINGLE,56103,0,0
no,43,Industry,Basic education,MARRIED,75672,1,2
no,40,Industry,Basic education,MARRIED,13670,0,2
no,37,Administration,University,MARRIED,35828,2,0
no,31,Independent,Basic education,MARRIED,127806,1,2
no,29,Administration,High school,MARRIED,11980,1,0
no,50,Administration,Professional Course,MARRIED,121902,1,2
no,30,Administration,University,MARRIED,44075,2,2
no,35,Administration,High school,SINGLE,134362,1,2
no,43,Administration,High school,DIVORCED,95925,1,0
no,39,Administration,University,MARRIED,142615,1,1
no,57,Administration,University,MARRIED,67579,0,2
no,38,Non-active,Basic education,MARRIED,79334,1,2
no,37,Administration,University,MARRIED,87097,0,2
no,41,Administration,Professional Course,MARRIED,32769,2,1
no,29,Administration,University,MARRIED,169694,2,1
no,30,Administration,University,MARRIED,166682,2,1
no,32,Independent,Basic education,MARRIED,145539,1,2
no,51,Administration,Basic education,MARRIED,157307,2,0
no,38,Administration,University,SINGLE,27995,2,1
no,58,Administration,University,MARRIED,132586,2,0
no,36,Industry,Basic education,MARRIED,18033,2,2
no,48,Administration,Professional Course,DIVORCED,134983,0,2
no,38,Industry,Basic education,MARRIED,70084,2,1
no,35,Industry,Basic education,MARRIED,99770,0,2
no,32,Industry,Basic education,SINGLE,42612,0,1
no,32,Industry,Basic education,MARRIED,148236,2,0
no,34,Industry,High school,MARRIED,82504,0,2
no,38,Independent,University,MARRIED,27807,1,2
no,32,Industry,High school,DIVORCED,167253,2,1
no,38,Administration,University,MARRIED,121785,0,0
no,41,Industry,Basic education,DIVORCED,150481,0,2
no,27,Industry,High school,SINGLE,62216,1,0
no,57,Industry,Basic education,MARRIED,69327,1,2
no,37,Non-active,High school,MARRIED,49564,1,0
no,54,Industry,Basic education,SINGLE,21296,2,1
no,43,Industry,Basic education,MARRIED,43774,0,2
no,44,Non-active,Basic education,MARRIED,113007,0,2
no,38,Administration,High school,SINGLE,111971,0,0
no,37,Industry,Basic education,MARRIED,89704,0,0
no,50,Administration,University,DIVORCED,15406,0,0
no,41,Administration,Basic education,MARRIED,146322,2,1
no,46,Administration,High school,MARRIED,156073,1,1
no,32,Industry,Basic education,MARRIED,37640,0,2
no,31,Industry,Professional Course,SINGLE,39369,1,0
no,40,Administration,University,MARRIED,32090,2,0
no,43,Industry,Basic education,MARRIED,87153,2,1
no,44,Industry,Professional Course,MARRIED,168693,1,2
no,38,Administration,University,MARRIED,100254,0,1
no,32,Industry,Basic education,MARRIED,65947,1,2
no,49,Industry,High school,MARRIED,111705,0,2
no,31,Industry,Basic education,MARRIED,102422,0,0
no,46,Administration,High school,MARRIED,89667,0,1
no,38,Administration,University,MARRIED,161052,2,1
no,27,Industry,Unknown,MARRIED,115735,1,1
no,38,Industry,Basic education,MARRIED,136423,2,0
no,47,Industry,Professional Course,MARRIED,5943,2,1
no,39,Industry,Professional Course,SINGLE,84821,2,2
no,37,Industry,Basic education,DIVORCED,151636,2,2
no,52,Administration,Basic education,MARRIED,135842,2,1
no,49,Administration,University,DIVORCED,67886,2,0
no,39,Administration,Professional Course,MARRIED,89817,0,0
yes,50,Administration,High school,MARRIED,124919,1,1
no,38,Administration,University,SINGLE,122760,0,0
no,39,Industry,Basic education,MARRIED,144825,2,1
no,38,Industry,Basic education,MARRIED,57106,2,0
no,28,Industry,Basic education,MARRIED,157807,1,1
no,40,Industry,Basic education,MARRIED,134417,2,1
no,40,Industry,Basic education,MARRIED,119215,2,1
no,53,Industry,High school,SINGLE,53043,1,2
no,49,Industry,Basic education,MARRIED,112491,0,2
no,55,Administration,Professional Course,MARRIED,62159,2,0
no,36,Industry,High school,SINGLE,172940,2,1
no,45,Industry,Basic education,MARRIED,111310,2,1
no,36,Industry,Basic education,MARRIED,18699,1,0
no,46,Administration,Basic education,MARRIED,121945,1,0
no,49,Industry,Basic education,MARRIED,132338,0,2
no,38,Non-active,Basic education,DIVORCED,22337,0,0
no,49,Industry,Basic education,DIVORCED,98365,0,0
no,49,Administration,Unknown,MARRIED,148354,0,0
yes,32,Administration,University,SINGLE,64664,1,0
no,25,Independent,University,MARRIED,175800,1,1
no,38,Industry,Basic education,MARRIED,15872,0,1
no,38,Administration,Professional Course,MARRIED,156946,0,2
no,37,Administration,High school,SINGLE,145368,0,1
no,53,Administration,Professional Course,DIVORCED,87713,1,1
no,38,Independent,University,MARRIED,47683,0,1
no,38,Industry,Basic education,MARRIED,14977,2,2
no,48,Industry,High school,MARRIED,128315,0,1
no,51,Industry,Unknown,MARRIED,42210,1,0
no,38,Administration,University,DIVORCED,59081,1,1
no,51,Industry,Basic education,MARRIED,127865,2,1
no,35,Non-active,High school,MARRIED,88860,0,2
no,45,Industry,Basic education,MARRIED,42466,2,0
no,35,Industry,Basic education,MARRIED,132617,0,2
no,51,Industry,Basic education,MARRIED,19368,2,0
yes,33,Industry,High school,SINGLE,93702,2,0
no,37,Administration,High school,SINGLE,57218,0,1
no,34,Industry,Basic education,MARRIED,44770,2,2
no,44,Administration,University,MARRIED,40492,0,1
no,53,Independent,University,MARRIED,95286,1,1
no,40,Administration,Professional Course,MARRIED,10301,2,2
no,40,Administration,University,DIVORCED,118890,2,2
no,32,Administration,Professional Course,SINGLE,52242,2,0
no,58,Industry,Basic education,MARRIED,16598,1,1
no,41,Industry,Unknown,DIVORCED,92041,0,1
no,35,Non-active,High school,SINGLE,49588,0,0
no,47,Administration,University,MARRIED,91117,1,1
no,52,Administration,Unknown,MARRIED,119579,2,1
no,33,Independent,University,SINGLE,16743,2,0
no,34,Administration,University,MARRIED,92188,0,2
no,38,Industry,High school,MARRIED,114126,2,1
no,48,Industry,Professional Course,MARRIED,163613,2,0
no,38,Administration,University,SINGLE,70242,2,0
no,40,Independent,High school,MARRIED,53449,0,0
no,38,Industry,High school,SINGLE,18892,2,1
no,42,Independent,University,MARRIED,42707,2,1
yes,38,Non-active,High school,MARRIED,118984,2,1
no,35,Non-active,University,SINGLE,33375,0,0
no,38,Administration,Professional Course,MARRIED,155639,2,0
no,43,Administration,High school,MARRIED,89805,1,2
no,33,Administration,High school,MARRIED,44142,0,2
no,47,Administration,University,DIVORCED,27429,0,0
no,30,Industry,High school,SINGLE,95585,0,0
no,35,Industry,Basic education,MARRIED,154577,1,0
no,31,Administration,University,SINGLE,177706,0,2
no,45,Industry,Illiterate,MARRIED,13017,0,1
no,33,Administration,University,MARRIED,24775,1,1
no,38,Non-active,Basic education,MARRIED,128090,1,0
no,46,Independent,Unknown,MARRIED,106192,2,1
no,31,Industry,Basic education,DIVORCED,51101,1,2
no,56,Administration,Unknown,MARRIED,84503,1,1
no,38,Industry,High school,SINGLE,169730,0,0
no,29,Industry,Unknown,SINGLE,40339,2,1
no,38,Industry,Basic education,SINGLE,125877,0,1
no,35,Independent,High school,MARRIED,32265,0,0
no,54,Industry,High school,SINGLE,171645,2,0
no,43,Industry,Professional Course,MARRIED,121946,2,1
no,46,Industry,Basic education,MARRIED,175739,0,0
no,38,Administration,University,SINGLE,101017,1,0
no,38,Administration,University,MARRIED,116649,2,2
no,38,Non-active,High school,MARRIED,101015,2,1
no,36,Industry,High school,MARRIED,57177,1,1
no,38,Industry,Basic education,MARRIED,165590,0,2
no,37,Administration,University,MARRIED,158815,1,1
no,28,Non-active,Basic education,MARRIED,91562,1,1
no,52,Industry,Basic education,MARRIED,97952,0,1
no,37,Industry,Unknown,SINGLE,158518,2,0
yes,46,Industry,Basic education,MARRIED,42439,0,1
no,27,Industry,High school,MARRIED,150000,1,2
no,44,Industry,Basic education,MARRIED,93209,1,0
no,31,Non-active,Professional Course,MARRIED,131053,2,2
no,34,Administration,Unknown,MARRIED,114056,1,2
no,56,Non-active,Basic education,DIVORCED,127728,1,0
no,51,Administration,Basic education,MARRIED,32374,0,2
no,38,Industry,Basic education,MARRIED,29429,0,2
no,38,Non-active,High school,MARRIED,27022,2,0
no,37,Industry,Basic education,MARRIED,49553,1,2
no,48,Non-active,Professional Course,DIVORCED,35507,2,0
no,38,Administration,High school,MARRIED,162988,0,1
no,34,Industry,Basic education,SINGLE,48567,1,1
no,33,Administration,University,MARRIED,126884,1,2
no,32,Industry,Basic education,MARRIED,25033,2,0
no,35,Administration,High school,MARRIED,178999,2,2
no,39,Administration,Professional Course,MARRIED,26647,0,2
no,38,Administration,University,MARRIED,51081,0,0
no,36,Industry,High school,MARRIED,149341,2,0
no,51,Industry,Basic education,MARRIED,61885,0,2
yes,39,Administration,Professional Course,SINGLE,175189,2,2
no,42,Industry,Unknown,MARRIED,13200,1,2
no,49,Industry,High school,DIVORCED,93749,1,2
no,32,Administration,Basic education,DIVORCED,61967,2,1
no,43,Administration,Professional Course,MARRIED,168978,0,1
no,31,Administration,High school,DIVORCED,108081,1,1
no,25,Industry,Basic education,MARRIED,6245,1,0
yes,39,Industry,High school,MARRIED,179806,1,1
no,49,Administration,Professional Course,MARRIED,174214,0,1
no,53,Industry,Basic education,DIVORCED,173802,0,0
no,26,Administration,High school,SINGLE,104327,1,0
no,38,Administration,Professional Course,MARRIED,80825,0,2
no,39,Industry,Basic education,DIVORCED,53744,0,0
no,33,Administration,University,DIVORCED,24097,2,1
no,45,Industry,Basic education,MARRIED,32830,2,0
no,56,Administration,University,MARRIED,11136,1,2
no,39,Non-active,Basic education,MARRIED,46043,2,1
no,30,Industry,University,SINGLE,177511,1,0
no,28,Not specified,Basic education,SINGLE,48955,0,1
no,50,Administration,High school,MARRIED,138873,1,1
no,44,Administration,University,MARRIED,105939,1,2
no,55,Industry,Basic education,MARRIED,11002,2,0
no,31,Industry,Basic education,SINGLE,176908,2,0
no,40,Industry,Basic education,MARRIED,75054,1,2
no,44,Industry,High school,MARRIED,111453,1,0
no,38,Administration,University,MARRIED,69161,0,1
no,56,Industry,High school,MARRIED,20194,1,0
no,35,Administration,High school,MARRIED,23326,0,2
no,31,Administration,High school,DIVORCED,75307,0,2
no,47,Administration,University,MARRIED,59722,2,2
no,30,Administration,University,DIVORCED,17833,1,1
no,37,Industry,High school,MARRIED,74292,0,1
no,36,Industry,Basic education,SINGLE,61885,2,0
no,33,Industry,Basic education,SINGLE,19925,0,1
no,38,Administration,Professional Course,MARRIED,87177,0,1
no,29,Independent,Basic education,MARRIED,72524,2,1
no,46,Administration,University,SINGLE,11280,1,1
no,50,Industry,Basic education,MARRIED,34625,2,0
no,57,Administration,Professional Course,MARRIED,112646,1,2
no,34,Industry,Basic education,MARRIED,129501,0,0
no,33,Independent,Basic education,MARRIED,53899,2,1
no,49,Administration,University,MARRIED,29288,2,2
no,43,Administration,Professional Course,SINGLE,104330,1,0
no,32,Administration,University,MARRIED,62521,1,1
no,38,Administration,Basic education,SINGLE,29323,1,0
no,38,Industry,Basic education,SINGLE,101701,2,1
no,37,Administration,High school,SINGLE,67474,0,2
no,28,Administration,University,MARRIED,34480,2,2
no,42,Non-active,Professional Course,MARRIED,109895,1,0
no,35,Industry,Unknown,MARRIED,49197,2,2
no,49,Administration,Basic education,MARRIED,91312,1,0
no,59,Administration,University,MARRIED,141160,1,2
no,30,Independent,Professional Course,MARRIED,23681,0,1
no,35,Administration,University,MARRIED,102108,1,1
no,35,Industry,High school,MARRIED,58260,0,1
no,40,Administration,Professional Course,MARRIED,164595,2,1
no,38,Administration,University,MARRIED,142229,0,1
no,51,Industry,High school,MARRIED,137378,0,2
no,38,Administration,High school,SINGLE,147623,1,0
no,48,Administration,University,SINGLE,70716,2,1
no,38,Industry,Unknown,MARRIED,108115,2,0
no,29,Industry,High school,SINGLE,149062,2,1
no,44,Administration,University,MARRIED,166604,0,2
no,41,Independent,High school,MARRIED,27983,1,0
no,38,Independent,Professional Course,MARRIED,159616,2,0
no,42,Administration,High school,SINGLE,15374,1,0
no,38,Industry,Unknown,MARRIED,38461,1,0
no,41,Industry,Basic education,DIVORCED,14157,0,2
no,38,Industry,High school,MARRIED,67925,2,0
no,57,Non-active,Professional Course,SINGLE,126186,1,0
no,47,Industry,Basic education,MARRIED,55417,1,2
no,47,Administration,University,DIVORCED,23162,0,0
no,42,Administration,Basic education,MARRIED,19693,2,0
no,52,Industry,Basic education,MARRIED,164889,1,1
no,33,Administration,Basic education,MARRIED,35034,0,1
no,35,Administration,University,MARRIED,78580,1,0
no,26,Industry,Basic education,MARRIED,168817,2,0
no,35,Industry,High school,MARRIED,12526,1,0
no,39,Independent,University,MARRIED,155871,2,1
no,46,Independent,Basic education,MARRIED,64768,2,1
no,46,Independent,Basic education,MARRIED,70392,2,0
no,48,Independent,Basic education,MARRIED,123047,0,1
no,52,Industry,High school,DIVORCED,126055,2,1
no,47,Independent,High school,MARRIED,153002,2,1
no,44,Administration,University,SINGLE,16982,1,2
no,36,Industry,Basic education,SINGLE,113880,1,1
no,48,Non-active,Professional Course,DIVORCED,79208,1,1
no,38,Industry,High school,MARRIED,117268,0,1
no,28,Industry,Basic education,MARRIED,58523,0,2
no,41,Administration,Basic education,MARRIED,31558,0,1
no,45,Industry,Basic education,MARRIED,20998,2,2
no,32,Industry,Basic education,SINGLE,16050,0,1
no,42,Independent,Basic education,MARRIED,75485,0,0
no,41,Industry,Basic education,MARRIED,80996,1,1
no,44,Industry,Basic education,MARRIED,70903,2,1
no,44,Non-active,University,MARRIED,82436,2,1
no,38,Industry,Basic education,DIVORCED,18638,2,0
no,55,Administration,High school,MARRIED,59401,2,1
no,33,Industry,Professional Course,MARRIED,77597,0,2
no,42,Non-active,High school,MARRIED,121818,2,1
no,42,Administration,University,SINGLE,15592,1,2
no,32,Independent,High school,MARRIED,108186,1,2
no,31,Administration,University,MARRIED,62519,0,2
no,48,Administration,Professional Course,MARRIED,52315,2,1
no,41,Industry,Basic education,MARRIED,129647,2,1
no,50,Independent,University,DIVORCED,45226,1,0
no,42,Industry,Unknown,MARRIED,118542,0,0
no,42,Administration,University,DIVORCED,113327,0,2
no,47,Administration,Professional Course,MARRIED,141221,2,1
no,36,Administration,University,MARRIED,103415,0,1
no,34,Industry,Basic education,MARRIED,149235,1,0
no,27,Non-active,High school,MARRIED,53195,2,2
no,44,Industry,Basic education,MARRIED,36343,0,1
no,44,Industry,High school,MARRIED,49940,0,0
no,56,Administration,Professional Course,MARRIED,117802,2,0
yes,33,Industry,Basic education,SINGLE,10212,2,1
no,38,Administration,Professional Course,MARRIED,129927,2,0
no,28,Administration,High school,MARRIED,164155,0,1
no,39,Independent,Basic education,MARRIED,10120,1,1
no,52,Administration,Basic education,MARRIED,172012,1,2
no,38,Administration,Basic education,DIVORCED,91607,2,1
no,38,Industry,Basic education,MARRIED,162941,1,2
no,39,Administration,University,DIVORCED,101553,1,0
no,43,Administration,Professional Course,MARRIED,41996,2,0
no,41,Administration,High school,SINGLE,179217,0,0
no,41,Administration,High school,SINGLE,125635,0,2
no,41,Administration,High school,SINGLE,84482,0,2
no,44,Industry,Basic education,MARRIED,155263,1,1
no,38,Industry,Basic education,MARRIED,25917,1,0
no,39,Administration,University,MARRIED,149498,1,1
no,46,Administration,Unknown,MARRIED,11536,1,2
no,36,Administration,High school,MARRIED,111760,1,1
no,44,Administration,High school,MARRIED,8274,2,0
no,45,Non-active,Professional Course,MARRIED,171218,0,2
no,47,Administration,University,DIVORCED,9535,0,2
no,38,Administration,High school,MARRIED,106321,0,0
no,44,Administration,Basic education,DIVORCED,107493,0,0
no,42,Non-active,Basic education,MARRIED,104832,1,1
no,44,Administration,Professional Course,MARRIED,146414,2,0
no,59,Non-active,Professional Course,DIVORCED,94326,2,0
no,42,Non-active,Basic education,MARRIED,5879,2,1
no,32,Administration,University,SINGLE,58745,0,1
no,38,Administration,University,MARRIED,81821,2,1
no,42,Industry,Basic education,MARRIED,41684,1,0
no,38,Administration,Professional Course,MARRIED,105620,1,2
no,37,Administration,University,MARRIED,59226,0,2
no,45,Industry,Basic education,MARRIED,22412,0,1
no,54,Non-active,Unknown,DIVORCED,158514,2,2
no,46,Administration,University,MARRIED,115394,1,0
no,38,Industry,Unknown,SINGLE,118276,2,1
no,39,Industry,Basic education,MARRIED,168338,2,1
no,48,Administration,Unknown,SINGLE,49500,0,0
no,35,Administration,High school,SINGLE,136485,0,2
no,41,Industry,Basic education,MARRIED,72287,1,0
no,53,Administration,Basic education,MARRIED,38274,1,1
no,37,Industry,High school,MARRIED,60147,1,0
no,49,Administration,University,MARRIED,82314,2,1
no,38,Industry,High school,MARRIED,124628,2,2
no,40,Industry,High school,MARRIED,95200,1,0
no,34,Administration,University,MARRIED,47117,0,2
no,38,Not specified,Basic education,SINGLE,38142,1,1
no,38,Administration,Basic education,MARRIED,120111,0,0
no,38,Administration,High school,DIVORCED,163404,1,1
no,51,Industry,Basic education,MARRIED,103794,1,1
no,37,Administration,High school,MARRIED,76289,1,0
no,33,Administration,University,MARRIED,42202,2,0
no,45,Industry,Unknown,MARRIED,119493,1,2
no,30,Administration,University,SINGLE,131520,0,1
no,51,Industry,Basic education,MARRIED,117557,2,0
no,24,Administration,High school,MARRIED,45085,1,2
no,26,Administration,High school,SINGLE,179061,1,2
no,56,Industry,Basic education,MARRIED,156231,0,0
no,39,Industry,Basic education,MARRIED,82469,0,2
no,37,Administration,University,MARRIED,89018,2,1
no,32,Industry,Basic education,MARRIED,96215,0,2
no,38,Administration,University,MARRIED,64846,0,1
no,50,Industry,High school,MARRIED,33520,1,0
no,45,Industry,High school,DIVORCED,145531,1,2
yes,56,Industry,Professional Course,MARRIED,150637,2,0
no,45,Administration,Basic education,MARRIED,14621,0,2
no,35,Industry,High school,MARRIED,37233,1,1
no,46,Administration,University,DIVORCED,105192,1,2
no,38,Administration,University,MARRIED,100075,0,0
no,40,Administration,University,MARRIED,67887,0,1
yes,58,Administration,University,SINGLE,156573,0,1
no,50,Industry,Basic education,MARRIED,87259,1,1
no,38,Industry,Basic education,SINGLE,74022,0,0
no,40,Administration,University,MARRIED,174520,0,0
no,43,Industry,High school,MARRIED,101055,1,1
no,28,Industry,High school,SINGLE,145280,0,0
no,37,Industry,Basic education,MARRIED,11201,2,0
no,30,Industry,High school,MARRIED,151448,2,1
no,36,Independent,University,MARRIED,145744,1,2
no,29,Administration,University,MARRIED,8499,2,2
no,44,Industry,High school,DIVORCED,105483,1,2
no,30,Administration,High school,MARRIED,7988,1,1
no,26,Industry,Basic education,DIVORCED,142468,0,2
no,43,Industry,Basic education,SINGLE,99130,0,2
no,29,Administration,Unknown,MARRIED,160247,2,0
no,34,Industry,Basic education,DIVORCED,139245,2,0
no,47,Administration,Professional Course,MARRIED,113644,2,2
yes,44,Administration,University,SINGLE,78523,1,2
no,39,Administration,High school,SINGLE,45199,2,1
yes,29,Non-active,High school,SINGLE,55689,1,0
no,32,Administration,Professional Course,SINGLE,127665,0,0
no,41,Administration,High school,MARRIED,148968,2,1
no,36,Industry,Basic education,MARRIED,38324,0,0
no,38,Administration,High school,MARRIED,97410,2,2
